albumID,albumName,releaseDate,albumCategory,artistName,labelName
25,ミニモニ。ソング大百科1巻,2002/6/26,オリジナルアルバム,ミニモニ。,zetima
209,ハワイアンで聴くモーニング娘。シングルコレクション,2002/7/10,カバーアルバム,高木ブーとモ－ニング娘｡･ココナッツ娘｡･藤本美貴･石川リカ,zetima
26,モーニング娘。のミュージカル モーニング・タウン オリジナルキャスト盤,2002/7/17,サウンドトラック,V.A.,hachama
27,ぜんぶ! プッチモニ,2002/8/21,ベストアルバム,プッチモニ,zetima
28,All of タンポポ,2002/9/4,ベストアルバム,タンポポ,zetima
29,ザ・童謡ポップス④秋のうた集,2002/9/4,カバーアルバム,V.A.,PICCOLO TOWN
30,FS3 FOLK SONGS 3,2002/10/23,カバーアルバム,中澤裕子/後藤真希/藤本美貴,PICCOLO TOWN
210,CLUB Hello！ TRANCE REMIX,2002/10/30,リミックス・アルバム,モーニング娘。・タンポポ・プッチモニ・ミニモニ。・後藤真希,zetima
31,新作童謡ポップス①,2002/12/4,オリジナルアルバム,V.A.,PICCOLO TOWN
32,プッチベスト3,2002/12/18,ベストアルバム,ハロー!プロジェクト,zetima
33,T・W・O,2003/1/29,オリジナルアルバム,松浦亜弥,zetima
34,マッキングGOLD①,2003/2/5,オリジナルアルバム,後藤真希,PICCOLO TOWN
35,仔犬ダンの物語 オリジナルサウンドトラック,2003/2/14,サウンドトラック,V.A.,zetima
36,ミニモニ。じゃムービー お菓子な大冒険! オリジナルサウンドトラック,2003/2/19,サウンドトラック,ミニモニ。,zetima
37,MIKI①,2003/2/26,オリジナルアルバム,藤本美貴,hachama
38,「けん&メリーのメリケン粉オンステージ!」オリジナルキャスト盤,2003/3/5,サウンドトラック,後藤真希,PICCOLO TOWN
39,1st Anniversary,2003/3/12,オリジナルアルバム,メロン記念日,zetima
40,No.5,2003/3/26,オリジナルアルバム,モーニング娘。,zetima
41,新作童謡ポップス②,2003/3/26,オリジナルアルバム,V.A.,PICCOLO TOWN
211,劇場版とっとこハム太郎ハムハムハムージャ！ 幻のプリンセス オリジナル サウンドトラック,2003/3/26,サウンドトラック,ミニモニ｡,zetima
42,オサヴリオ〜愛は待ってくれない〜,2003/4/23,オリジナルアルバム,飯田圭織,地中海レーベル
43,FS4 FOLK SONGS 4,2003/5/21,カバーアルバム,V.A.,PICCOLO TOWN
44,モーニング娘。主演ミュージカル 江戸っ娘。忠臣蔵 オリジナルキャスト盤,2003/7/2,サウンドトラック,V.A.,hachama
45,パラディノメ〜恋に身をゆだねて〜,2003/10/22,オリジナルアルバム,飯田圭織,地中海レーベル
46,プッチベスト4,2003/12/17,ベストアルバム,ハロー!プロジェクト,zetima
47,×3,2004/1/1,オリジナルアルバム,松浦亜弥,zetima
48,②ペイント イット ゴールド,2004/1/28,オリジナルアルバム,後藤真希,PICCOLO TOWN
49,一人ぼっち,2004/2/4,オリジナルアルバム,安倍なつみ,hachama
50,ミニモニ。ソングズ②,2004/2/11,オリジナルアルバム,ミニモニ。,zetima
51,FS5 卒業,2004/2/25,カバーアルバム,V.A.,PICCOLO TOWN
52,ベスト! モーニング娘。2,2004/3/31,ベストアルバム,モーニング娘。,zetima
53,デュオU&U,2004/6/2,オリジナルアルバム,W,zetima
54,1st 超ベリーズ,2004/7/7,オリジナルアルバム,Berryz工房,PICCOLO TOWN
55,第二章〜強がり〜,2004/7/22,オリジナルアルバム,中澤裕子,zetima
56,THE 二枚目,2004/12/1,オリジナルアルバム,メロン記念日,zetima
57,ALL FOR ONE & ONE FOR ALL,2004/12/1,ミニアルバム,H.P.オールスターズ,zetima
58,愛の第6感,2004/12/8,オリジナルアルバム,モーニング娘。,zetima
59,モーニング娘。EARLY SINGLE BOX,2004/12/15,ベストアルバム,モーニング娘。,zetima
60,プッチベスト5,2004/12/22,ベストアルバム,ハロー!プロジェクト,zetima
212,劇場版 とっとこハム太郎・ハムハムグランプリン オーロラ谷の奇跡 リボンちゃん危機一髪！オリジナルサウンドトラック,2004/12/22,サウンドトラック,V.A.,zetima
61,アヴニール〜未来〜,2004/12/29,オリジナルアルバム,飯田圭織,地中海レーベル
62,3rdステーション,2005/2/23,オリジナルアルバム,後藤真希,PICCOLO TOWN
63,2nd W,2005/3/2,オリジナルアルバム,W,zetima
64,松浦亜弥ベスト1,2005/3/24,ベストアルバム,松浦亜弥,zetima
65,スイートルームナンバー1,2005/10/26,オリジナルアルバム,美勇伝,PICCOLO TOWN
66,第②成長記,2005/11/16,オリジナルアルバム,Berryz工房,PICCOLO TOWN
67,スッペシャル!ベストミニ ～2.5枚目の彼～,2005/12/7,ミニアルバム,Berryz工房,PICCOLO TOWN
68,後藤真希プレミアムベスト①,2005/12/14,ベストアルバム,後藤真希,PICCOLO TOWN
69,プッチベスト6,2005/12/21,ベストアルバム,ハロー!プロジェクト,zetima
70,プラン・ダムール〜愛がいっぱい〜,2005/12/21,オリジナルアルバム,飯田圭織,地中海レーベル
71,レインボー7,2006/2/15,オリジナルアルバム,モーニング娘。,zetima
72,2nd 〜染みわたる想い〜,2006/3/29,オリジナルアルバム,安倍なつみ,hachama
73,③夏夏ミニベリーズ,2006/7/5,ミニアルバム,Berryz工房,PICCOLO TOWN
74,「リボンの騎士 ザ・ミュージカル」ソング・セレクション,2006/7/26,サウンドトラック,モーニング娘。他,zetima
75,カントリー娘。大全集②,2006/8/23,オリジナルアルバム,カントリー娘。,zetima
213,きらりん☆レボリューション・ソング・セレクション,2006/10/18,サウンドトラック,V.A.,zetima
76,キューティークイーン VOL.1,2006/10/25,オリジナルアルバム,℃-ute,zetima
214,ミュージカル「白蛇伝〜White Lovers〜」 ソング・セレクション,2006/11/8,サウンドトラック,安倍なつみ,hachama
215,きらりん☆レボリューション オリジナル・サウンドトラック Vol.1,2006/11/22,サウンドトラック,V.A.,zetima
77,Naked Songs,2006/11/29,オリジナルアルバム,松浦亜弥,zetima
78,7.5冬冬モーニング娘。ミニ!,2006/12/13,ミニアルバム,モーニング娘。,zetima
79,プッチベスト7,2006/12/20,ベストアルバム,ハロー!プロジェクト,zetima
80,☆☆☆,2007/2/28,オリジナルアルバム,月島きらり starring 久住小春(モーニング娘。),zetima
81,25 〜ヴァンサンク〜,2007/3/14,ミニアルバム,安倍なつみ,hachama
205,①Be Possible!,2007/3/14,オリジナルアルバム,THE ポッシボー,GOOD FACTORY RECORD
82,SEXY 8 BEAT,2007/3/21,オリジナルアルバム,モーニング娘。,zetima
83,②mini〜生きるという力〜,2007/4/18,オリジナルアルバム,℃-ute,zetima
84,1st GAM〜甘い誘惑〜,2007/5/23,オリジナルアルバム,GAM,hachama
85,4th 愛のなんちゃら指数,2007/8/1,オリジナルアルバム,Berryz工房,PICCOLO TOWN
86,How to use SEXY,2007/9/19,オリジナルアルバム,後藤真希,PICCOLO TOWN
87,ダブル レインボウ,2007/10/10,オリジナルアルバム,松浦亜弥,zetima
88,モーニング娘。 ALL SINGLES COMPLETE 〜10th ANNIVERSARY〜,2007/10/24,ベストアルバム,モーニング娘。,zetima
89,美勇伝 シングルベスト9 Vol.1 おまけつき,2007/11/21,ベストアルバム,美勇伝,PICCOLO TOWN
90,メロンジュース,2007/12/12,ミニアルバム,メロン記念日,zetima
91,FRUITY KILLER TUNE,2007/12/12,ベストアルバム,メロン記念日,zetima
92,プッチベスト8,2007/12/12,ベストアルバム,ハロー!プロジェクト,zetima
93,きらりん☆ランド,2007/12/19,オリジナルアルバム,月島きらり starring 久住小春(モーニング娘。),zetima
94,1st GOODSAL,2008/2/6,オリジナルアルバム,音楽ガッタス,zetima
95,Café Buono!,2008/2/20,オリジナルアルバム,Buono!,ポニーキャニオン
96,3rd〜LOVE エスカレーション!〜,2008/3/12,オリジナルアルバム,℃-ute,zetima
97,5 (FIVE),2008/9/10,オリジナルアルバム,Berryz工房,PICCOLO TOWN
98,Kill Me Kiss Me,2008/11/19,ミニアルバム,HANGRY & ANGRY,GOTHUALL
99,COVER YOU,2008/11/26,カバーアルバム,モーニング娘。,zetima
100,Legend,2008/12/10,ベストアルバム,中澤裕子,zetima
101,プッチモニ／タンポポ　メガベスト,2008/12/10,ベストアルバム,タンポポ/プッチモニ,zetima
102,太陽とシスコムーン／T&Cボンバー メガベスト,2008/12/10,ベストアルバム,太陽とシスコムーン/T&Cボンバー,zetima
103,MEGA MELON,2008/12/10,ベストアルバム,メロン記念日,zetima
104,プッチベスト9,2008/12/10,ベストアルバム,ハロー!プロジェクト,zetima
105,ハロー！プロジェクトシャッフルユニット メガベスト,2008/12/10,ベストアルバム,V.A.,zetima
106,ハロー!プロジェクト スペシャルユニット メガベスト,2008/12/10,ベストアルバム,V.A.,zetima
107,カントリー娘。 メガベスト,2008/12/10,ベストアルバム,カントリー娘。,zetima
108,安倍なつみ 〜Best Selection〜 15色の似顔絵たち,2008/12/10,ベストアルバム,安倍なつみ,hachama
109,きらりと冬,2008/12/17,オリジナルアルバム,月島きらり starring 久住小春(モーニング娘。),zetima
110,Berryz工房 スッペシャル ベスト Vol.1,2009/1/14,ベストアルバム,Berryz工房,PICCOLO TOWN
111,想いあふれて,2009/1/21,オリジナルアルバム,松浦亜弥,zetima
112,④憧れ My STAR,2009/1/28,オリジナルアルバム,℃-ute,zetima
113,1st最高!,2009/1/31,ミニアルバム,アイスクリー娘。,UP-FRONT WORKS
114,Buono!2,2009/2/11,オリジナルアルバム,Buono!,ポニーキャニオン
115,プラチナ 9 DISC,2009/3/18,オリジナルアルバム,モーニング娘。,zetima
116,ベスト☆きらり,2009/3/31,ベストアルバム,月島きらり starring 久住小春(モーニング娘。),zetima
117,チャンプル①〜ハッピーマリッジソングカバー集〜,2009/7/16,カバーアルバム,ハロー!プロジェクト,zetima
118,モーニング娘。全シングル カップリングコレクション,2009/10/7,ベストアルバム,モーニング娘。,zetima
119,℃-uteなんです!全シングル集めちゃいましたっ!①,2009/11/18,ベストアルバム,℃-ute,zetima
121,プッチベスト10,2009/12/2,ベストアルバム,ハロー!プロジェクト,zetima
122,FRIENDS,2009/12/16,オリジナルアルバム,真野恵里菜,hachama
123,We are Buono!,2010/2/10,オリジナルアルバム,Buono!,ポニーキャニオン
125,ショッキング5,2010/2/24,オリジナルアルバム,℃-ute,zetima
126,⑩ MY ME,2010/3/17,オリジナルアルバム,モーニング娘。,zetima
127,6th 雄叫びアルバム,2010/3/31,オリジナルアルバム,Berryz工房,PICCOLO TOWN
129,The Best Buono!,2010/8/10,ベストアルバム,Buono!,ポニーキャニオン
130,MORE FRIENDS,2010/11/24,オリジナルアルバム,真野恵里菜,hachama
131,Fantasy! 拾壱,2010/12/1,オリジナルアルバム,モーニング娘。,zetima
132,悪ガキッ①,2010/12/8,オリジナルアルバム,スマイレージ,hachama
133,「ハロカバ」第1弾,2010/12/8,カバーアルバム,ハロー!プロジェクト,UP-FRONT WORKS
134,プッチベスト11,2010/12/15,ベストアルバム,ハロー!プロジェクト,zetima
135,「ハロカバ」第2弾,2010/12/15,カバーアルバム,ハロー!プロジェクト,UP-FRONT WORKS
136,「ハロカバ」第3弾,2011/1/24,カバーアルバム,ハロー!プロジェクト,UP-FRONT WORKS
137,「ハロカバ」第4弾,2011/2/16,カバーアルバム,ハロー!プロジェクト,UP-FRONT WORKS
138,「ハロカバ」第5弾,2011/3/2,カバーアルバム,ハロー!プロジェクト,UP-FRONT WORKS
139,⑦ Berryz タイムス,2011/3/30,オリジナルアルバム,Berryz工房,PICCOLO TOWN
140,「ハロカバ」第6弾,2011/3/30,カバーアルバム,ハロー!プロジェクト,UP-FRONT WORKS
141,超WONDERFUL!⑥,2011/4/6,オリジナルアルバム,℃-ute,zetima
142,partenza,2011/8/10,ミニアルバム,Buono!,zetima
143,"12,スマート",2011/10/12,オリジナルアルバム,モーニング娘。,zetima
144,プッチベスト12,2011/12/7,ベストアルバム,ハロー!プロジェクト,zetima
145,第七章「美しくってごめんね」,2012/2/8,オリジナルアルバム,℃-ute,zetima
146,愛のアルバム⑧,2012/2/22,オリジナルアルバム,Berryz工房,PICCOLO TOWN
147,More Friends Over,2012/3/28,オリジナルアルバム,真野恵里菜,hachama
148,スマイレージ ベストアルバム完全版①,2012/5/30,ベストアルバム,スマイレージ,hachama
149,SHERBET,2012/8/22,ミニアルバム,Buono!,zetima
150,⑬カラフルキャラクター,2012/9/12,オリジナルアルバム,モーニング娘。,zetima
151,②℃-ute神聖なるベストアルバム,2012/11/21,ベストアルバム,℃-ute,zetima
152,プッチベスト13,2012/12/5,ベストアルバム,ハロー!プロジェクト,zetima
153,Berryzマンション9階,2013/1/30,オリジナルアルバム,Berryz工房,PICCOLO TOWN
154,BEST FRIENDS,2013/2/6,ベストアルバム,真野恵里菜,hachama
155,②スマイルセンセーション,2013/5/22,オリジナルアルバム,スマイレージ,hachama
156,⑧ Queen of J-POP,2013/9/4,オリジナルアルバム,℃-ute,zetima
157,The Best!〜Updated モーニング娘。〜,2013/9/25,ベストアルバム,モーニング娘。,zetima
158,プッチベスト14,2013/12/11,ベストアルバム,ハロー!プロジェクト,zetima
159,Berryz工房 スッペシャル ベスト Vol.2,2014/2/26,ベストアルバム,Berryz工房,PICCOLO TOWN
160,モーニング娘。’14 カップリングコレクション2,2014/3/12,ベストアルバム,モーニング娘。'14,zetima
161,演劇女子部 ミュージカル LILIUMリリウム 少女純潔歌劇 オリジナルサウンドトラック,2014/8/6,サウンドトラック,モーニング娘。'14/スマイレージ,zetima
162,14章〜The message〜,2014/10/29,オリジナルアルバム,モーニング娘。'14,zetima
163,プッチベスト15,2014/12/10,ベストアルバム,ハロー!プロジェクト,zetima
164,演劇女子部 「ミュージカル 恋するハローキティ」オリジナルミニアルバム,2014/12/24,サウンドトラック,Juice=Juice,UP-FRONT WORKS
165,完熟Berryz工房 The Final Completion Box,2015/1/21,ベストアルバム,Berryz工房,PICCOLO TOWN
166,① Let's say “Hello!”,2015/2/18,オリジナルアルバム,ハロプロ研修生,UP-FRONT WORKS
167,演劇女子部 ミュージカル「TRIANGLE-トライアングル-」オリジナルサウンドトラック,2015/7/15,サウンドトラック,モーニング娘。'15,UP-FRONT WORKS
168,First Squeeze!,2015/7/15,オリジナルアルバム,Juice=Juice,hachama
169,演劇女子部 ミュージカル「サンクユーベリーベリー」オリジナルサウンドトラック,2015/10/8,サウンドトラック,つばきファクトリー,UP-FRONT WORKS
170,S/mileage / ANGERME SELECTION ALBUM「大器晩成」,2015/11/25,ベストアルバム,アンジュルム,hachama
171,プッチベスト16,2015/12/16,ベストアルバム,ハロー!プロジェクト,zetima
172,℃maj9,2015/12/23,オリジナルアルバム,℃-ute,zetima
173,つばきファクトリーSOUND+VISION Vol.1,2016/5/18,ミニアルバム,つばきファクトリー,UP-FRONT WORKS
174,全労済ホール/スペース・ゼロ提携公演 演劇女子部「モード」 オリジナルサウンドトラック,2016/11/2,サウンドトラック,アンジュルム,UP-FRONT WORKS
175,辛夷其ノ壱,2016/11/30,オリジナルアルバム,こぶしファクトリー,zetima
176,プッチベスト17,2016/12/14,ベストアルバム,ハロー!プロジェクト,zetima
177,舞台「JKニンジャガールズ」オリジナルサウンドトラック,2017/3/29,サウンドトラック,こぶしファクトリー,UP-FRONT WORKS
178,℃OMPLETE SINGLE COLLECTION,2017/5/3,ベストアルバム,℃-ute,zetima
179,嗣永桃子アイドル15周年記念アルバム♡ありがとう おとももち♡,2017/6/28,オリジナルアルバム,嗣永桃子,PICCOLO TOWN
180,演劇女子部「ファラオの墓」オリジナルサウンドラック,2017/7/12,サウンドトラック,モーニング娘。'17,UP-FRONT WORKS
181,映画＆舞台「JKニンジャガールズ」オリジナルサウンドトラック,2017/9/6,サウンドトラック,こぶしファクトリー,UP-FRONT WORKS
182,演劇女子部「夢見るテレビジョン」オリジナルサウンドトラック,2017/11/1,サウンドトラック,アンジュルム,UP-FRONT WORKS
183,"⑮ Thank you, too",2017/12/6,オリジナルアルバム,モーニング娘。'17,zetima
184,プッチベスト18,2017/12/13,ベストアルバム,ハロー!プロジェクト,zetima
185,二十歳のモーニング娘。,2018/2/7,ミニアルバム,モーニング娘。20th,zetima
186,演劇女子部「ファラオの墓～蛇王・スネフェル」オリジナルサウンドトラック,2018/7/11,サウンドトラック,モーニング娘。'18,UP-FRONT WORKS
187,Rainbow×2,2018/7/11,オリジナルアルバム,ハロプロ研修生,UP-FRONT WORKS
188,Juice=Juice#2 -¡Una más!-,2018/8/1,オリジナルアルバム,Juice=Juice,hachama
189,first bloom,2018/11/14,オリジナルアルバム,つばきファクトリー,zetima
190,プッチベスト19,2018/12/12,ベストアルバム,ハロー!プロジェクト,zetima
191,Seasons,2019/3/6,ミニアルバム,カントリー・ガールズ,UP-FRONT WORKS
192,ベスト!モーニング娘。20th Anniversary,2019/3/20,ベストアルバム,モーニング娘。'19,zetima
193,"輪廻転生〜ANGERME Past, Present & Future〜",2019/5/15,オリジナルアルバム,アンジュルム,hachama
194,演劇女子部「不思議の国のアリスたち」オリジナルサウンドトラック,2019/5/29,サウンドトラック,BEYOOOOONDS,UP-FRONT WORKS
195,辛夷第二幕,2019/10/2,オリジナルアルバム,こぶしファクトリー,zetima
196,BEYOOOOOND₁St,2019/11/27,オリジナルアルバム,BEYOOOOONDS,zetima
197,カントリー・ガールズ大全集①,2019/12/4,ベストアルバム,カントリー・ガールズ,zetima
198,プッチベスト20 2020,2020/1/8,ベストアルバム,ハロー!プロジェクト,zetima
199,演劇女子部「アラビヨーンズナイト」オリジナルサウンドラック,2020/11/11,サウンドトラック,BEYOOOOONDS,UP-FRONT WORKS
200,16th〜That's J-POP〜,2021/3/31,オリジナルアルバム,モーニング娘。'21,zetima
201,2nd STEP,2021/5/26,オリジナルアルバム,つばきファクトリー,zetima
202,3-STARS,2021/9/29,オリジナルアルバム,ハロプロ研修生,UP-FRONT WORKS
203,演劇女子部「図書館物語～3つのブックマーク～」 オリジナルサウンドトラック,2021/12/22,サウンドトラック,ハロプロ研修生,UP-FRONT WORKS
206,terzo,2022/4/20,オリジナルアルバム,Juice=Juice,hachama
207,BEYOOOOO2NDS,2022/9/8,オリジナルアルバム,BEYOOOOONDS,zetima
208,演劇女子部「ビヨサイユ宮殿」オリジナルサウンドトラック,2022/12/7,サウンドトラック,BEYOOOOONDS,UP-FRONT WORKS
